iter	RMSE
0	14.68430578
1	14.30311949
2	13.93368052
3	13.58893388
4	13.25133789
5	12.93167588
6	12.65459172
7	12.34812059
8	12.10811466
9	11.81561747
10	11.53675439
11	11.30452885
12	11.09484108
13	10.84666032
14	10.60859498
15	10.37235161
16	10.15846883
17	9.953608897
18	9.752955847
19	9.556908257
20	9.397117338
21	9.218654966
22	9.040743435
23	8.872159846
24	8.708683907
25	8.549822261
26	8.403794401
27	8.275257203
28	8.136530882
29	8.015066504
30	7.891619644
31	7.788745145
32	7.690455658
33	7.584036423
34	7.47924974
35	7.382620435
36	7.288842201
37	7.207226041
38	7.117178485
39	7.039196429
40	6.966858762
41	6.901419065
42	6.828256751
43	6.765301058
44	6.700516321
45	6.643794312
46	6.579961224
47	6.522780833
48	6.464284002
49	6.412543643
50	6.36052328
51	6.313963418
52	6.263118637
53	6.213707882
54	6.170232046
55	6.128948887
56	6.093254498
57	6.060640854
58	6.027022563
59	5.996817761
60	5.965824395
61	5.936241433
62	5.903388081
63	5.869943213
64	5.840201173
65	5.809012946
66	5.781538557
67	5.753133377
68	5.737945647
69	5.711189749
70	5.686862527
71	5.662274433
72	5.641725527
73	5.621561034
74	5.600229256
75	5.580730207
76	5.563871902
77	5.545059753
78	5.529779444
79	5.514321798
80	5.499077708
81	5.487240174
82	5.474132298
83	5.459570409
84	5.440457073
85	5.42682124
86	5.411614707
87	5.400349388
88	5.387662455
89	5.374640476
90	5.358774095
91	5.347151279
92	5.335962316
93	5.327291897
94	5.316167237
95	5.306031238
96	5.298380158
97	5.291721842
98	5.284159185
99	5.274677365
100	5.267133324
101	5.254196353
102	5.244706857
103	5.23441637
104	5.227487874
105	5.214774124
106	5.205492796
107	5.198094845
108	5.19025811
109	5.180439323
110	5.174230737
111	5.167904084
112	5.161782562
113	5.154651439
114	5.147255501
115	5.139641929
116	5.134110968
117	5.127258159
118	5.120099407
119	5.113761552
120	5.111455072
121	5.106085418
122	5.101252561
123	5.096804925
124	5.092326702
125	5.087378098
126	5.081201501
127	5.075110512
128	5.072817668
129	5.068137837
130	5.064333505
131	5.06152044
132	5.05228079
133	5.044049865
134	5.040790196
135	5.036510321
136	5.032342974
137	5.026591388
138	5.023110106
139	5.020498775
140	5.016867784
141	5.014603573
142	5.009889084
143	5.00486816
144	4.998582148
145	4.995678532
146	4.989933344
147	4.985179792
148	4.978227959
149	4.9747785
150	4.968896516
151	4.962309325
152	4.957870824
153	4.954025563
154	4.952887967
155	4.948165214
156	4.94521168
157	4.940781315
158	4.936992364
159	4.931826754
160	4.929288799
161	4.926206452
162	4.922227807
163	4.916002116
164	4.911539613
165	4.905303156
166	4.901917321
167	4.897274301
168	4.893424294
169	4.889111334
170	4.883259355
171	4.882029439
172	4.878941992
173	4.876418078
174	4.871755132
175	4.86717683
176	4.862732989
177	4.856607837
178	4.852113807
179	4.845592466
180	4.84103873
181	4.836570954
182	4.832387752
183	4.827789898
184	4.825240496
185	4.820532537
186	4.816630103
187	4.814634648
188	4.812428847
189	4.808853221
190	4.804051176
191	4.800522104
192	4.797643652
193	4.793135863
194	4.787033973
195	4.785222977
196	4.783815903
197	4.781340367
198	4.776965606
199	4.769884757
200	4.767191135
201	4.763921284
202	4.760346533
203	4.755665604
204	4.750182888
205	4.747895563
206	4.743228572
207	4.74050159
208	4.738621656
209	4.733418851
210	4.728280405
211	4.725706741
212	4.721036698
213	4.717425918
214	4.713071195
215	4.711258545
216	4.709320058
217	4.706574291
218	4.705489681
219	4.703888554
220	4.70011383
221	4.697584127
222	4.694014736
223	4.691596265
224	4.689477264
225	4.687566329
226	4.683807375
227	4.680346453
228	4.677373829
229	4.673177666
230	4.668076765
231	4.659703659
232	4.655361076
233	4.651640197
234	4.650090571
235	4.647643863
236	4.644080986
237	4.639683519
238	4.63477168
239	4.62760379
240	4.624458065
241	4.620099222
242	4.619118922
243	4.616427357
244	4.609967544
245	4.604633692
246	4.599554367
247	4.594159883
248	4.590294181
249	4.583166567
250	4.579318012
251	4.578301874
252	4.571929953
253	4.565623459
254	4.561702678
255	4.559763544
256	4.555772607
257	4.554788573
258	4.550745528
259	4.547222108
260	4.544567591
261	4.538385076
262	4.537083415
263	4.534365302
264	4.531708526
265	4.529275269
266	4.521831106
267	4.517080511
268	4.515332814
269	4.509510263
270	4.504573022
271	4.499303737
272	4.493955377
273	4.492436528
274	4.485689869
275	4.483278271
276	4.481840415
277	4.4780086
278	4.474430831
279	4.470599575
280	4.468299062
281	4.461556536
282	4.460387321
283	4.454544104
284	4.450453771
285	4.446966323
286	4.442803205
287	4.43860323
288	4.43310123
289	4.42917828
290	4.425131411
291	4.423843506
292	4.417900365
293	4.414214121
294	4.41053027
295	4.407730273
296	4.40402736
297	4.401821355
298	4.398598531
299	4.393654095
300	4.390846534
301	4.386079247
302	4.383626116
303	4.378141568
304	4.373285016
305	4.371604815
306	4.368712912
307	4.363040873
308	4.361119251
309	4.357579741
310	4.356806217
311	4.354642783
312	4.353717123
313	4.350760812
314	4.347500372
315	4.343257873
316	4.338800517
317	4.334574295
318	4.332144982
319	4.331131231
320	4.325368551
321	4.320348061
322	4.319381139
323	4.316337254
324	4.313621078
325	4.310651989
326	4.309656887
327	4.307681766
328	4.30433264
329	4.299459057
330	4.296251387
331	4.292904589
332	4.288614305
333	4.284406053
334	4.280395745
335	4.276966497
336	4.274908558
337	4.270821326
338	4.267370475
