iter	Passed	Remaining
0	0	82
1	1	69
2	2	65
3	2	61
4	3	60
5	3	58
6	4	56
7	4	55
8	5	54
9	6	54
10	6	53
11	7	52
12	7	51
13	8	51
14	8	50
15	9	49
16	9	48
17	10	48
18	11	47
19	11	46
20	12	45
21	12	45
22	13	44
23	13	44
24	14	43
25	15	42
26	15	42
27	16	41
28	16	41
29	17	40
30	17	39
31	18	39
32	19	38
33	19	38
34	20	37
35	20	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	29	29
50	29	28
51	30	28
52	30	27
53	31	26
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	42	15
73	42	14
74	43	14
75	43	13
76	44	13
77	44	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
